Datetime,Elapsed Time (in Seconds),Current Waypoint,Anger Level
5/8/2016 12:22:19 PM,1,11,0
5/8/2016 12:22:20 PM,2,8,0
5/8/2016 12:22:21 PM,3,6,0
5/8/2016 12:22:22 PM,4,3,0
5/8/2016 12:22:23 PM,5,2,0
5/8/2016 12:22:24 PM,6,4,0
5/8/2016 12:22:25 PM,7,1,0
5/8/2016 12:22:26 PM,8,15,0
5/8/2016 12:22:27 PM,9,13,0
5/8/2016 12:22:28 PM,10,11,0
5/8/2016 12:22:29 PM,11,14,0
5/8/2016 12:22:30 PM,12,14,0
5/8/2016 12:22:31 PM,13,11,0
5/8/2016 12:22:32 PM,14,14,0
5/8/2016 12:22:33 PM,15,8,0
5/8/2016 12:22:34 PM,16,10,0
5/8/2016 12:22:35 PM,17,14,0
5/8/2016 12:22:36 PM,18,11,0
5/8/2016 12:22:37 PM,19,14,0
5/8/2016 12:22:38 PM,20,11,0
5/8/2016 12:22:39 PM,21,13,0
5/8/2016 12:22:40 PM,22,11,0
5/8/2016 12:22:41 PM,23,13,0
5/8/2016 12:22:42 PM,24,14,0
5/8/2016 12:22:43 PM,25,11,0
5/8/2016 12:22:44 PM,26,12,0
5/8/2016 12:22:52 PM,27,13,0
5/8/2016 12:22:53 PM,28,11,0
5/8/2016 12:22:54 PM,29,11,0
5/8/2016 12:22:55 PM,30,6,0
5/8/2016 12:22:56 PM,31,5,0
5/8/2016 12:22:57 PM,32,3,0
5/8/2016 12:22:58 PM,33,6,0
5/8/2016 12:22:59 PM,34,9,0
5/8/2016 12:23:00 PM,35,9,0
5/8/2016 12:23:01 PM,36,6,0
5/8/2016 12:23:02 PM,37,9,0
5/8/2016 12:23:03 PM,38,12,0
5/8/2016 12:23:04 PM,39,13,0
5/8/2016 12:23:05 PM,40,8,0
5/8/2016 12:23:06 PM,41,5,0
5/8/2016 12:23:07 PM,42,5,0
5/8/2016 12:23:08 PM,43,5,0
5/8/2016 12:23:09 PM,44,6,0
5/8/2016 12:23:10 PM,45,2,0
5/8/2016 12:23:11 PM,46,1,0
5/8/2016 12:23:12 PM,47,0,0
5/8/2016 12:23:13 PM,48,13,0
5/8/2016 12:23:14 PM,49,11,0
5/8/2016 12:23:15 PM,50,8,0
5/8/2016 12:23:16 PM,51,9,0
5/8/2016 12:23:17 PM,52,14,0
5/8/2016 12:23:18 PM,53,11,0
5/8/2016 12:23:19 PM,54,8,0
5/8/2016 12:23:20 PM,55,5,0
5/8/2016 12:23:21 PM,56,3,0
5/8/2016 12:23:22 PM,57,5,0
5/8/2016 12:23:23 PM,58,5,0
5/8/2016 12:23:24 PM,59,6,0
5/8/2016 12:23:25 PM,60,8,0
5/8/2016 12:23:26 PM,61,5,0
5/8/2016 12:23:27 PM,62,2,0
5/8/2016 12:23:28 PM,63,5,0
5/8/2016 12:23:29 PM,64,2,0
5/8/2016 12:23:30 PM,65,5,0
5/8/2016 12:23:31 PM,66,2,0
5/8/2016 12:23:32 PM,67,0,0
5/8/2016 12:23:33 PM,68,15,0
5/8/2016 12:23:34 PM,69,14,0
5/8/2016 12:23:35 PM,70,11,0
5/8/2016 12:23:36 PM,71,8,0
5/8/2016 12:23:37 PM,72,6,0
5/8/2016 12:23:38 PM,73,2,0
5/8/2016 12:23:39 PM,74,2,0
5/8/2016 12:23:40 PM,75,5,0
5/8/2016 12:23:41 PM,76,2,0
5/8/2016 12:23:42 PM,77,5,0
5/8/2016 12:23:43 PM,78,2,0
5/8/2016 12:23:44 PM,79,1,0
5/8/2016 12:23:45 PM,80,5,0
5/8/2016 12:23:46 PM,81,1,0
5/8/2016 12:23:47 PM,82,5,0
5/8/2016 12:23:48 PM,83,0,0
5/8/2016 12:23:49 PM,84,0,0
5/8/2016 12:23:50 PM,85,0,0
5/8/2016 12:23:53 PM,86,0,0
5/8/2016 12:23:54 PM,87,15,0
5/8/2016 12:23:55 PM,88,15,0
5/8/2016 12:23:56 PM,89,11,0
5/8/2016 12:23:57 PM,90,14,0
5/8/2016 12:23:58 PM,91,11,0
5/8/2016 12:23:59 PM,92,9,0
5/8/2016 12:24:00 PM,93,11,0
5/8/2016 12:24:01 PM,94,14,0
5/8/2016 12:24:02 PM,95,15,0
5/8/2016 12:24:03 PM,96,1,0
5/8/2016 12:24:04 PM,97,0,0
5/8/2016 12:24:05 PM,98,14,0
5/8/2016 12:24:06 PM,99,13,0
5/8/2016 12:24:07 PM,100,14,0
5/8/2016 12:24:08 PM,101,13,0
5/8/2016 12:24:09 PM,102,11,0
5/8/2016 12:24:10 PM,103,8,0
5/8/2016 12:24:11 PM,104,11,0
5/8/2016 12:24:12 PM,105,8,0
5/8/2016 12:24:13 PM,106,13,0
5/8/2016 12:24:14 PM,107,14,0
5/8/2016 12:24:15 PM,108,11,0
5/8/2016 12:24:17 PM,109,13,0
5/8/2016 12:24:18 PM,110,8,0
5/8/2016 12:24:19 PM,111,9,0
5/8/2016 12:24:20 PM,112,12,0
5/8/2016 12:24:21 PM,113,6,0
5/8/2016 12:24:22 PM,114,5,0
5/8/2016 12:24:23 PM,115,7,0
5/8/2016 12:24:24 PM,116,2,0
5/8/2016 12:24:25 PM,117,4,0
5/8/2016 12:24:26 PM,118,6,0
5/8/2016 12:24:27 PM,119,2,0
5/8/2016 12:24:28 PM,120,4,0
5/8/2016 12:24:29 PM,121,5,0
5/8/2016 12:24:30 PM,122,2,0
5/8/2016 12:24:31 PM,123,5,0
5/8/2016 12:24:32 PM,124,0,0
5/8/2016 12:24:33 PM,125,1,0
5/8/2016 12:24:34 PM,126,15,0
5/8/2016 12:24:35 PM,127,11,0
5/8/2016 12:24:36 PM,128,11,0
5/8/2016 12:24:37 PM,129,8,0
