PuzzleEvent, TimeCompleted
extCordPlugged,-1
acUnitOpen,-1
TVpowerState,-1
garageDoorOpen,-1
correctChannelEntered,-1
extCordPlugged,-1
acUnitOpen,-1
TVpowerState,-1
garageDoorOpen,-1
correctChannelEntered,-1
extCordPlugged,107.8706
acUnitOpen,-1
TVpowerState,89.33733
garageDoorOpen,107.8706
correctChannelEntered,107.8706
garageDoorUnlocked,107.8706
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,-1
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,5.868466
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,13.46756
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,9.775849
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,12.50774
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,11.98094
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,9.383969
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,8.347133
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,6.764028
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,5.673099
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,28.16666
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,13.52676
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,8.842078
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,8.431153
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,7.881733
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,7.640107
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,14.86218
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,96.47745
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,-1
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,9.531395
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,22.06087
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,124.0229
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,-1
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,-1
garageDoorOpen,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,51.59039
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,83.85501
puzzleCompletion,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,33.18456
puzzleCompletion,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,28.53879
puzzleCompletion,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,33.01446
puzzleCompletion,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,72.15032
puzzleCompletion,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,131.7544
puzzleCompletion,-1
acUnitOpen,-1
TVpowerState,-1
extCordPlugged,-1
correctChannelEntered,-1
garageDoorUnlocked,-1
playerLoss,-1
